City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Guerrero Negro,MX,27.9769,-114.0611,71.44,86,17,15.21,few clouds
192,Rio Grande,BR,-32.035,-52.0986,38.95,85,1,5.73,clear sky
193,Honningsvag,NO,70.9821,25.9704,51.55,76,2,11.5,clear sky
194,Hofn,IS,64.2539,-15.2082,52.0,73,97,4.72,light rain
195,San Cristobal,VE,7.7669,-72.225,65.52,99,100,1.52,overcast clouds
196,Saldanha,ZA,-33.0117,17.9442,53.73,91,1,11.21,clear sky
197,Luwuk,ID,-0.9516,122.7875,78.13,84,100,2.04,overcast clouds
198,Shwebo,MM,22.5667,95.7,87.35,63,85,10.45,light rain
199,Emerald,AU,-23.5333,148.1667,73.53,60,87,6.24,overcast clouds
200,Pirovskoye,RU,57.6267,92.2658,62.37,51,16,6.58,few clouds
201,Walvis Bay,NA,-22.9575,14.5053,52.09,100,100,8.05,fog
202,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,72.52,87,41,3.13,scattered clouds
203,Bad Rappenau,DE,49.2406,9.1025,60.44,76,100,4.81,overcast clouds
204,San Carlos De Bariloche,AR,-41.1456,-71.3082,30.99,96,99,4.59,light snow
205,Iquique,CL,-20.2208,-70.1431,58.08,84,90,0.67,overcast clouds
206,Hay River,CA,60.8156,-115.7999,59.29,58,20,10.74,few clouds
207,Bar Harbor,US,44.3876,-68.2039,73.94,90,100,4.88,overcast clouds
208,Pahalgam,IN,34.0333,75.3333,65.68,83,86,5.41,overcast clouds
209,Kodiak,US,57.79,-152.4072,55.31,77,81,1.12,broken clouds
210,Ihosy,MG,-22.4,46.1167,56.03,72,0,1.61,clear sky
211,Pangnirtung,CA,66.1451,-65.7125,42.08,96,100,1.01,light rain
212,Bilibino,RU,68.0546,166.4372,53.29,51,94,13.47,overcast clouds
213,Nchelenge,ZM,-9.3451,28.734,60.58,57,75,6.31,broken clouds
214,Ilulissat,GL,69.2167,-51.1,44.62,100,100,4.61,mist
215,Porbandar,IN,21.6422,69.6093,80.58,83,75,6.91,haze
216,Shingu,JP,33.7333,135.9833,83.89,75,73,7.29,broken clouds
217,Nikolskoye,RU,59.7035,30.7861,70.81,76,79,6.82,broken clouds
218,Palu,ID,-0.8917,119.8707,86.05,71,82,3.2,broken clouds
219,Cayenne,GF,4.9333,-52.3333,82.09,1,20,2.3,few clouds
220,Coihaique,CL,-45.5752,-72.0662,30.81,93,40,3.44,scattered clouds
221,Nome,US,64.5011,-165.4064,48.16,80,100,12.41,overcast clouds
222,Necochea,AR,-38.5473,-58.7368,40.84,77,80,6.85,broken clouds
223,Dingle,PH,10.9995,122.6711,84.42,73,100,4.68,overcast clouds
224,Carnarvon,AU,-24.8667,113.6333,67.96,38,0,7.47,clear sky
225,Praia,CV,14.9215,-23.5087,77.2,84,89,7.49,overcast clouds
226,Dikson,RU,73.5069,80.5464,41.85,100,100,11.79,light rain
227,Asau,RO,46.4333,26.4,61.72,80,2,3.67,clear sky
228,Clyde River,CA,70.4692,-68.5914,39.43,93,0,14.97,clear sky
229,Camacha,PT,33.0833,-16.3333,67.42,83,75,11.5,broken clouds
230,Znamenskoye,RU,57.1281,73.8282,73.11,56,69,5.1,broken clouds
231,Luzhou,CN,28.8724,105.4405,94.01,54,8,1.68,clear sky
232,Pereira Barreto,BR,-20.6383,-51.1092,71.11,60,39,7.36,scattered clouds
233,San Patricio,US,28.017,-97.5169,83.89,67,99,13.42,overcast clouds
234,Saint Marys,US,30.7305,-81.5465,84.22,87,0,4.61,clear sky
235,Lubango,AO,-14.9172,13.4925,58.32,38,0,3.85,clear sky
236,Port Hedland,AU,-20.3167,118.5667,78.85,19,0,16.11,clear sky
237,Ugoofaaru,MV,5.6667,73.0,80.94,81,96,16.46,overcast clouds
238,Ibanda,TZ,-2.7974,32.4746,62.2,65,54,7.4,broken clouds
239,Fortuna,US,40.5982,-124.1573,63.93,88,100,9.22,overcast clouds
240,Ginda,IN,30.6945,78.4932,73.69,79,33,4.65,scattered clouds
241,Saskylakh,RU,71.9167,114.0833,63.64,52,7,8.75,clear sky
242,Rio Gallegos,AR,-51.6226,-69.2181,36.16,94,98,4.52,light rain
243,Ratnagiri,IN,16.9833,73.3,78.26,92,100,8.37,light rain
244,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,78,100,14.97,overcast clouds
245,Bekhtery,UA,46.251,32.2927,73.45,69,30,10.51,scattered clouds
246,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.61,57,54,3.78,broken clouds
247,Kavaratti,IN,10.5669,72.642,80.69,84,100,22.17,overcast clouds
248,Vostok,RU,46.4856,135.8833,75.18,72,100,5.91,overcast clouds
249,West Wendover,US,40.7391,-114.0733,72.88,53,84,5.79,broken clouds
250,Minab,IR,27.1467,57.0801,93.83,51,0,2.3,clear sky
251,Maldonado,UY,-34.6667,-54.9167,40.26,90,3,2.75,clear sky
252,Narsaq,GL,60.9167,-46.05,44.82,96,100,2.53,overcast clouds
253,Vigrestad,NO,58.5667,5.7,53.28,79,99,21.05,overcast clouds
254,Nogliki,RU,51.8333,143.1667,59.72,79,83,15.41,broken clouds
255,Ulladulla,AU,-35.35,150.4667,61.7,51,35,15.23,scattered clouds
256,Bac Lieu,VN,9.285,105.7244,80.82,77,100,10.96,light rain
257,Progreso,MX,21.2833,-89.6667,78.12,79,16,11.43,few clouds
258,Okhotsk,RU,59.3833,143.3,57.13,87,100,17.36,overcast clouds
259,Sur,OM,22.5667,59.5289,89.94,56,98,2.33,overcast clouds
260,Abu Kamal,SY,34.4506,40.9171,94.84,23,1,6.96,clear sky
261,Inhambane,MZ,-23.865,35.3833,60.78,94,0,3.44,fog
262,Kathmandu,NP,27.7167,85.3167,71.82,94,75,0.0,drizzle
263,Saint-Georges,GD,12.0564,-61.7485,79.65,84,59,14.9,broken clouds
264,Padang,ID,-0.9492,100.3543,86.05,63,16,4.12,few clouds
265,Araouane,ML,18.9048,-3.5265,91.99,39,40,10.49,scattered clouds
266,Sombrerete,MX,23.6333,-103.65,59.65,68,63,12.95,broken clouds
267,Batagay,RU,67.6333,134.6333,51.35,87,100,4.5,light rain
268,Orje,NO,59.4802,11.6602,46.83,68,52,4.65,broken clouds
269,Santa Maria,BR,-29.6842,-53.8069,45.18,93,1,4.47,clear sky
270,Tura,IN,25.5198,90.2201,75.88,95,99,4.94,overcast clouds
271,Upernavik,GL,72.7868,-56.1549,38.16,96,64,9.46,broken clouds
272,Ternate,ID,0.8,127.4,82.69,73,100,2.39,overcast clouds
273,Talcahuano,CL,-36.7167,-73.1167,51.48,93,100,0.0,light rain
274,Melfort,CA,52.8667,-104.6177,49.69,88,76,5.88,broken clouds
275,Puerto Narino,CO,-3.7703,-70.3831,72.07,99,100,1.9,overcast clouds
276,Caraballeda,VE,10.6112,-66.8522,77.45,90,18,7.85,few clouds
277,Mao,ES,39.8885,4.2658,75.76,83,0,3.44,clear sky
278,Kruisfontein,ZA,-34.0033,24.7314,49.6,85,48,7.0,scattered clouds
279,Isangel,VU,-19.55,169.2667,79.7,69,20,9.57,few clouds
280,Moura,PT,38.1401,-7.4486,66.81,76,0,3.58,clear sky
281,Pachperwa,IN,27.5167,82.65,87.3,69,100,4.94,overcast clouds
282,Lashio,MM,22.9333,97.75,72.79,96,95,1.9,overcast clouds
283,Avera,US,33.194,-82.5271,77.56,81,100,6.78,overcast clouds
284,Salinas,US,36.6777,-121.6555,66.56,75,85,4.27,overcast clouds
285,Qaqortoq,GL,60.7167,-46.0333,45.72,95,100,4.43,overcast clouds
286,Jiuquan,CN,39.7432,98.5174,83.66,28,86,10.36,overcast clouds
287,Kota Tinggi,MY,1.7381,103.8999,90.18,68,96,4.07,overcast clouds
288,Shatki,RU,55.1887,44.1249,70.3,70,97,3.83,overcast clouds
289,Ursulo Galvan,MX,22.7333,-98.3,82.33,88,27,5.26,scattered clouds
290,Wukari,NG,7.85,9.7833,72.07,92,100,3.51,overcast clouds
291,Kupang,ID,-10.1667,123.5833,82.47,60,71,11.81,broken clouds
292,Nepomuk,CZ,49.4862,13.5823,59.13,80,100,5.12,overcast clouds
293,Shiliguri,IN,26.7,88.4333,85.69,77,98,3.96,overcast clouds
294,Sept-Iles,CA,50.2001,-66.3821,58.05,86,87,5.88,overcast clouds
295,Nongstoin,IN,25.5167,91.2667,70.09,94,100,0.29,overcast clouds
296,Leirvik,NO,59.7798,5.5005,52.63,87,100,8.59,light rain
297,Byron Bay,AU,-28.65,153.6167,72.95,52,82,6.42,broken clouds
298,Alta Floresta,BR,-9.8756,-56.0861,72.63,47,9,2.55,clear sky
299,San Quintin,MX,30.4833,-115.95,70.92,87,13,14.5,few clouds
300,Aksarka,RU,66.5606,67.7975,68.95,60,46,8.37,scattered clouds
301,Yokadouma,CM,3.5167,15.05,66.61,99,64,2.35,broken clouds
302,Nouadhibou,MR,20.931,-17.0347,70.56,90,4,8.32,clear sky
303,Anton Lizardo,MX,19.05,-95.9833,81.21,82,6,7.09,clear sky
304,Talnakh,RU,69.4865,88.3972,60.21,59,56,6.73,broken clouds
305,Port-Cartier,CA,50.0334,-66.8654,57.74,59,73,5.46,broken clouds
306,Virginia Beach,US,36.8529,-75.978,80.64,89,75,0.0,broken clouds
307,Shanghai,CN,31.2222,121.4581,96.93,66,20,3.0,few clouds
308,Caravelas,BR,-17.7125,-39.2481,72.5,79,2,9.51,clear sky
309,Carutapera,BR,-1.195,-46.02,75.4,88,5,6.62,clear sky
310,Umm Kaddadah,SD,13.6017,26.6876,81.9,61,100,10.4,overcast clouds
311,Brae,GB,60.3964,-1.353,50.72,88,9,10.2,clear sky
312,Samarinda,ID,-0.5,117.15,81.72,75,95,4.99,overcast clouds
313,Lokosovo,RU,61.1333,74.8167,65.25,82,100,2.98,overcast clouds
314,Deputatskiy,RU,69.3,139.9,52.79,66,100,4.88,light rain
315,Matamoros,MX,25.5333,-103.25,79.81,34,56,5.66,broken clouds
